Genre,Reports,Processed_Reports,Age,Year,Gender,Nationality,Gpa_Label,Char_Count,Word_Count,Average_Word_Length,Average_Sentence_Length,Sentiment_Score,Subjectivity_Score,Sentiment_Label,Cluster,Emotion_Scores,Emotion_Polarity,Emotion_Label,Gpa_Label_Num
Academic Support and Resources,There have been several honor code violations in this course and it's really disappointing. I thought this was a place of higher learning and respect for academic integrity.,several honor code violation course really disappointing thought place higher learning respect academic integrity,16,2,F,Egypt,A,113,14,7.142857142857143,113.0,-0.0875,0.3,Neutral,2,"(-0.0875, 0.3)",-0.0875,Negative,4
Academic Support and Resources,The grading rubric for this course is confusing and doesn't make sense. I don't understand how my grade is being calculated and it's causing me a lot of anxiety.,grading rubric course confusing make sense understand grade calculated causing lot anxiety,26,2,F,Egypt,A,90,12,6.583333333333333,90.0,-0.3,0.4,Neutral,2,"(-0.3, 0.4)",-0.3,Negative,4
Academic Support and Resources,I feel like my professor doesn't care about my success in this course. They don't give us enough support or resources to do well.,feel like professor care success course give u enough support resource well,21,2,M,Egypt,D,75,12,5.333333333333333,75.0,0.15,0.25,Neutral,0,"(0.15, 0.25)",0.15,Positive,1
Academic Support and Resources, The textbooks for this course are outdated and don't provide enough information. I feel like I'm not getting the education I paid for.,textbook course outdated provide enough information feel like getting education paid,27,2,F,Egypt,B,84,11,6.7272727272727275,84.0,-0.20000000000000004,0.5666666666666667,Negative,0,"(-0.20000000000000004, 0.5666666666666667)",-0.20000000000000004,Negative,3
Academic Support and Resources, I am really frustrated with the lack of transparency in this course. The professor doesn't communicate with us clearly and it's causing a lot of confusion.,really frustrated lack transparency course professor communicate u clearly causing lot confusion,19,2,M,Egypt,C,96,12,7.083333333333333,96.0,-0.3,0.29166666666666663,Neutral,2,"(-0.3, 0.29166666666666663)",-0.3,Negative,2
Academic Support and Resources, The teaching assistants for this course are not helpful at all. They don't know the material and can't answer any of my questions.,teaching assistant course helpful know material cant answer question,22,2,M,Egypt,D,68,9,6.666666666666667,68.0,0.0,0.0,Neutral,2,"(0.0, 0.0)",0.0,Neutral,1
Academic Support and Resources, The grading scale for this course is too harsh. It's almost impossible to get an A and it's discouraging me from trying my best.,grading scale course harsh almost impossible get discouraging trying best,18,2,M,Egypt,A,73,10,6.4,73.0,0.04444444444444443,0.6666666666666666,Positive,0,"(0.04444444444444443, 0.6666666666666666)",0.04444444444444443,Positive,4
Academic Support and Resources, I am disappointed with the quality of education I am receiving in this course. I expected more from a university.,disappointed quality education receiving course expected university,24,2,M,Egypt,F,67,7,8.714285714285714,67.0,-0.425,0.575,Negative,0,"(-0.425, 0.575)",-0.425,Negative,0
Academic Support and Resources, The professor for this course is disorganized and doesn't seem to have a plan. I am not learning anything and it's frustrating.,professor course disorganized seem plan learning anything frustrating,16,2,M,Egypt,A,69,8,7.75,69.0,-0.4,0.9,Negative,2,"(-0.4, 0.9)",-0.4,Negative,4
Academic Support and Resources, The cost of attending this university is outrageous. I don't know how I'm going to afford it.,cost attending university outrageous know going afford,20,2,F,Egypt,A,54,7,6.857142857142857,54.0,-1.0,1.0,Negative,0,"(-1.0, 1.0)",-1.0,Negative,4
Academic Support and Resources, The textbook for this course is not helpful at all. It's poorly written and doesn't explain anything clearly.,textbook course helpful poorly written explain anything clearly,25,2,M,Egypt,D,63,8,7.0,63.0,-0.15,0.49166666666666664,Neutral,0,"(-0.15, 0.49166666666666664)",-0.15,Negative,1
Academic Support and Resources, I am very concerned about the lack of diversity in this course. We are not getting a well-rounded education.,concerned lack diversity course getting wellrounded education,19,2,F,Egypt,C,61,7,7.857142857142857,61.0,0.0,0.0,Neutral,0,"(0.0, 0.0)",0.0,Neutral,2
Academic Support and Resources, The professor for this course is biased and it's affecting my grade. They seem to have favorites and it's not fair.,professor course biased affecting grade seem favorite fair,18,2,F,Egypt,C,58,8,6.375,58.0,0.6,0.95,Positive,2,"(0.6, 0.95)",0.6,Positive,2
Academic Support and Resources, The workload for this course is overwhelming. I don't have enough time to complete everything and it's affecting my other classes.,workload course overwhelming enough time complete everything affecting class,27,2,F,Egypt,D,76,9,7.555555555555555,76.0,0.19999999999999998,0.6333333333333333,Positive,2,"(0.19999999999999998, 0.6333333333333333)",0.19999999999999998,Positive,1
Academic Support and Resources, I wish there were more opportunities for extra credit in this course. It would help my grade and encourage me to learn more.,wish opportunity extra credit course would help grade encourage learn,26,2,F,Egypt,B,69,10,6.0,69.0,0.0,0.1,Neutral,0,"(0.0, 0.1)",0.0,Neutral,3
Academic Support and Resources, The professor for this course is not approachable. I am scared to ask them for help and it's hindering my success.,professor course approachable scared ask help hindering success,27,2,F,Egypt,B,63,8,7.0,63.0,0.3,0.0,Neutral,0,"(0.3, 0.0)",0.3,Positive,3
Academic Support and Resources, The course fees are too high for what we're getting. We're not getting our money's worth.,course fee high getting getting money worth,21,2,M,Egypt,C,43,7,5.285714285714286,43.0,0.22999999999999998,0.31999999999999995,Neutral,0,"(0.22999999999999998, 0.31999999999999995)",0.22999999999999998,Positive,2
Academic Support and Resources, The grading system for this course is too subjective. It's hard to know what the professor wants and it's affecting my grade.,grading system course subjective hard know professor want affecting grade,25,2,M,Egypt,B,73,10,6.4,73.0,-0.2916666666666667,0.5416666666666666,Negative,2,"(-0.2916666666666667, 0.5416666666666666)",-0.2916666666666667,Negative,3
Academic Support and Resources, The professor for this course is disinterested and it shows in their lectures. I am not learning anything and it's frustrating.,professor course disinterested show lecture learning anything frustrating,18,2,F,Egypt,B,73,8,8.25,73.0,-0.4,0.9,Negative,2,"(-0.4, 0.9)",-0.4,Negative,3
Academic Support and Resources, The textbook for this course is full of errors and mistakes. It's hard to learn from something that's not accurate.,textbook course full error mistake hard learn something thats accurate,19,2,F,Egypt,C,70,10,6.1,70.0,0.1527777777777778,0.5750000000000001,Positive,0,"(0.1527777777777778, 0.5750000000000001)",0.1527777777777778,Positive,2
Academic Support and Resources, I am concerned about the lack of academic rigor in this course. We,concerned lack academic rigor course,16,2,F,Egypt,C,36,5,6.4,36.0,0.0,0.0,Neutral,2,"(0.0, 0.0)",0.0,Neutral,2
Academic Support and Resources,Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,limited access technology software hindering ability coursework cant afford buy expensive program,24,2,F,Egypt,C,97,12,7.166666666666667,97.0,-0.2857142857142857,0.4214285714285714,Neutral,2,"(-0.2857142857142857, 0.4214285714285714)",-0.2857142857142857,Negative,2
Academic Support and Resources,I'm trying to graduate early but there are only a few courses available that I need to take. It's frustrating that my options are so limited.,trying graduate early course available need take frustrating option limited,24,2,M,Egypt,A,75,10,6.6,75.0,0.007142857142857138,0.4357142857142857,Neutral,1,"(0.007142857142857138, 0.4357142857142857)",0.007142857142857138,Positive,4
Academic Support and Resources,The online system for accessing course materials is always down or glitchy. It's hard to get work done when I can't even access my assignments.,online system accessing course material always glitchy hard get work done cant even access assignment,16,2,M,Egypt,C,101,15,5.8,101.0,-0.2916666666666667,0.5416666666666666,Negative,2,"(-0.2916666666666667, 0.5416666666666666)",-0.2916666666666667,Negative,2
Academic Support and Resources,I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.,wish opportunity access research database material outside library would nice option flexibility,24,2,M,Egypt,C,96,12,7.083333333333333,96.0,0.3,0.525,Positive,2,"(0.3, 0.525)",0.3,Positive,2
Academic Support and Resources,It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,really difficult find course material need class theyre spread across many different resource wish streamlined system,18,2,F,Egypt,F,117,16,6.375,117.0,0.0,0.7000000000000001,Neutral,2,"(0.0, 0.7000000000000001)",0.0,Neutral,0
Academic Support and Resources,The lack of available courses is making it hard for me to fulfill all of my degree requirements. I'm worried I won't be able to graduate on time.,lack available course making hard fulfill degree requirement worried wont able graduate time,22,2,M,Egypt,C,92,13,6.153846153846154,92.0,0.2027777777777778,0.5222222222222223,Positive,2,"(0.2027777777777778, 0.5222222222222223)",0.2027777777777778,Positive,2
Academic Support and Resources,"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",trouble particular software program one class there one available help troubleshoot frustrating feel like,21,2,M,Egypt,C,105,14,6.571428571428571,105.0,-0.008333333333333331,0.45833333333333337,Neutral,0,"(-0.008333333333333331, 0.45833333333333337)",-0.008333333333333331,Negative,2
Academic Support and Resources,Limited access to research databases and materials is especially frustrating when I'm trying to write a thesis or do original research. It feels like I'm hitting a wall.,limited access research database material especially frustrating trying write thesis original research feel like hitting wall,24,2,M,Egypt,C,125,16,6.875,125.0,-0.16547619047619047,0.6309523809523809,Negative,2,"(-0.16547619047619047, 0.6309523809523809)",-0.16547619047619047,Negative,2
Academic Support and Resources,I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,international student trouble accessing online resource regional restriction frustrating feel like missing,26,2,M,Egypt,C,106,12,7.916666666666667,106.0,-0.2,0.28750000000000003,Neutral,0,"(-0.2, 0.28750000000000003)",-0.2,Negative,2
Academic Support and Resources,I'm a transfer student and I feel like I'm at a disadvantage because I don't have access to all of the same resources and databases as students who started at this university.,transfer student feel like disadvantage access resource database student started university,22,2,F,Egypt,A,91,11,7.363636363636363,91.0,0.0,0.0,Neutral,0,"(0.0, 0.0)",0.0,Neutral,4
Academic Support and Resources,I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.,student disability trouble accessing technology software need coursework frustrating feel like need arent accommodated,26,2,M,Egypt,B,118,14,7.5,118.0,-0.30000000000000004,0.55,Negative,0,"(-0.30000000000000004, 0.55)",-0.30000000000000004,Negative,3
Academic Support and Resources,It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,frustrating limited access academic advisor theyre one help plan degree make sure track graduate,16,2,F,Egypt,A,96,14,5.928571428571429,96.0,0.007142857142857145,0.48293650793650794,Neutral,2,"(0.007142857142857145, 0.48293650793650794)",0.007142857142857145,Positive,4
Academic Support and Resources,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,wish option accessing course material online physically go library bookstore every time need something,17,2,M,Egypt,B,102,14,6.357142857142857,102.0,0.0,0.14285714285714285,Neutral,2,"(0.0, 0.14285714285714285)",0.0,Neutral,3
Academic Support and Resources,It's hard to do group projects when we have limited access to technology and software. It puts us at a disadvantage compared to other groups.,hard group project limited access technology software put u disadvantage compared group,27,2,F,Egypt,D,87,12,6.333333333333333,87.0,-0.18154761904761907,0.34226190476190477,Neutral,2,"(-0.18154761904761907, 0.34226190476190477)",-0.18154761904761907,Negative,1
Academic Support and Resources,I'm having trouble accessing research databases and materials because the library hours are limited and they're often closed when I have time to study.,trouble accessing research database material library hour limited theyre often closed time study,17,2,M,Egypt,C,96,13,6.461538461538462,96.0,-0.12380952380952381,0.14761904761904762,Neutral,2,"(-0.12380952380952381, 0.14761904761904762)",-0.12380952380952381,Negative,2
Academic Support and Resources,Limited access to research databases and materials makes it hard to stay up-to-date with the latest developments in my field of study. It feels like I'm falling behind.,limited access research database material make hard stay uptodate latest development field study feel like falling behind,16,2,M,Egypt,D,121,17,6.176470588235294,121.0,-0.06577380952380954,0.5711309523809525,Negative,2,"(-0.06577380952380954, 0.5711309523809525)",-0.06577380952380954,Negative,1
Academic Support and Resources,Limited access to technology and software is making it hard to keep up with the pace of coursework. It feels like I'm constantly playing catch-up.,limited access technology software making hard keep pace coursework feel like constantly playing catchup,26,2,M,Egypt,B,104,14,6.5,104.0,-0.12103174603174605,0.33928571428571425,Neutral,2,"(-0.12103174603174605, 0.33928571428571425)",-0.12103174603174605,Negative,3
Academic Support and Resources,The lack of available courses is making it hard to take electives that interest me. I feel like my academic options are too limited.,lack available course making hard take elective interest feel like academic option limited,18,2,F,Egypt,A,90,13,6.0,90.0,0.009226190476190478,0.27113095238095236,Neutral,2,"(0.009226190476190478, 0.27113095238095236)",0.009226190476190478,Positive,4
Academic Support and Resources,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,limited access academic advisor making feel like come making important academic decision,18,2,M,Egypt,C,88,12,6.416666666666667,88.0,0.08214285714285716,0.2857142857142857,Neutral,2,"(0.08214285714285716, 0.2857142857142857)",0.08214285714285716,Positive,2
Academic Support and Resources,It's frustrating that we have such limited access to academic advisors. It makes it difficult to plan our academic careers and get the guidance we need.,frustrating limited access academic advisor make difficult plan academic career get guidance need,21,2,M,Egypt,F,97,13,6.538461538461538,97.0,-0.19428571428571428,0.40857142857142853,Neutral,2,"(-0.19428571428571428, 0.40857142857142853)",-0.19428571428571428,Negative,0
Academic Support and Resources,I'm really struggling with finding and accessing course materials. It's making it hard to keep up with the coursework.,really struggling finding accessing course material making hard keep coursework,26,2,F,Egypt,D,79,10,7.0,79.0,-0.04583333333333334,0.37083333333333335,Neutral,2,"(-0.04583333333333334, 0.37083333333333335)",-0.04583333333333334,Negative,1
Academic Support and Resources,I wish there was more course availability. It's frustrating to have limited options for classes and not be able to take what we need.,wish course availability frustrating limited option class able take need,27,2,F,Egypt,D,72,10,6.3,72.0,0.009523809523809526,0.555952380952381,Positive,2,"(0.009523809523809526, 0.555952380952381)",0.009523809523809526,Positive,1
Academic Support and Resources,Limited access to technology and software is a major issue. It's hindering our ability to complete assignments and keep up with the demands of our courses.,limited access technology software major issue hindering ability complete assignment keep demand course,27,2,M,Egypt,F,103,13,7.0,103.0,0.03035714285714286,0.34761904761904755,Neutral,2,"(0.03035714285714286, 0.34761904761904755)",0.03035714285714286,Positive,0
Academic Support and Resources,The limited access to research databases and materials is a huge problem. It makes it difficult to complete research assignments and write papers.,limited access research database material huge problem make difficult complete research assignment write paper,17,2,F,Egypt,B,110,14,6.928571428571429,110.0,-0.017857142857142842,0.6107142857142857,Negative,2,"(-0.017857142857142842, 0.6107142857142857)",-0.017857142857142842,Negative,3
Academic Support and Resources,It's really frustrating that we don't have better access to academic advisors. It's causing a lot of stress and anxiety.,really frustrating better access academic advisor causing lot stress anxiety,26,2,F,Egypt,B,76,10,6.7,76.0,0.033333333333333326,0.4666666666666666,Neutral,2,"(0.033333333333333326, 0.4666666666666666)",0.033333333333333326,Positive,3
Academic Support and Resources,The difficulty in finding and accessing course materials is making it hard to succeed in our classes.,difficulty finding accessing course material making hard succeed class,25,2,F,Egypt,C,70,9,6.888888888888889,70.0,-0.2916666666666667,0.5416666666666666,Negative,2,"(-0.2916666666666667, 0.5416666666666666)",-0.2916666666666667,Negative,2
Academic Support and Resources,Limited course availability is a huge problem for students. We need more options for classes to be able to meet our academic goals.,limited course availability huge problem student need option class able meet academic goal,25,2,F,Egypt,C,90,13,6.0,90.0,0.20714285714285716,0.41696428571428573,Neutral,2,"(0.20714285714285716, 0.41696428571428573)",0.20714285714285716,Positive,2
Academic Support and Resources,Limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability.,limited access technology software preventing u able complete assignment time best ability,27,2,F,Egypt,F,90,12,6.583333333333333,90.0,0.3821428571428571,0.3669642857142857,Neutral,2,"(0.3821428571428571, 0.3669642857142857)",0.3821428571428571,Positive,0
Academic Support and Resources,It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,really frustrating limited access research database material making hard complete research assignment write paper,16,2,F,Egypt,D,113,14,7.142857142857143,113.0,-0.16577380952380952,0.4961309523809524,Neutral,2,"(-0.16577380952380952, 0.4961309523809524)",-0.16577380952380952,Negative,1
Academic Support and Resources,I feel like I'm not getting the support I need from academic advisors. Limited access to them is making it difficult to plan my academic career.,feel like getting support need academic advisor limited access making difficult plan academic career,17,2,M,Egypt,C,100,14,6.214285714285714,100.0,-0.14285714285714285,0.2857142857142857,Neutral,2,"(-0.14285714285714285, 0.2857142857142857)",-0.14285714285714285,Negative,2
Academic Support and Resources,The difficulty in finding and accessing course materials is a major source of stress for students. It's important that we have access to what we need to succeed.,difficulty finding accessing course material major source stress student important access need succeed,18,2,M,Egypt,C,102,13,6.923076923076923,102.0,0.23125,0.75,Positive,2,"(0.23125, 0.75)",0.23125,Positive,2
Academic Support and Resources,Limited course availability is a major issue for students. We need more options to be able to take the classes we need.,limited course availability major issue student need option able take class need,21,2,M,Egypt,F,80,12,5.75,80.0,0.1636904761904762,0.4226190476190476,Neutral,2,"(0.1636904761904762, 0.4226190476190476)",0.1636904761904762,Positive,0
Academic Support and Resources,Limited access to technology and software is a major problem. It's impacting our ability to succeed in our courses and prepare for the workforce.,limited access technology software major problem impacting ability succeed course prepare workforce,16,2,F,Egypt,A,99,12,7.333333333333333,99.0,-0.004464285714285712,0.3214285714285714,Neutral,2,"(-0.004464285714285712, 0.3214285714285714)",-0.004464285714285712,Negative,4
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,limited access research database material causing lot frustration among student need better access able succeed academically,19,2,M,Egypt,F,124,16,6.8125,124.0,0.30952380952380953,0.4226190476190476,Neutral,2,"(0.30952380952380953, 0.4226190476190476)",0.30952380952380953,Positive,0
Academic Support and Resources,It's really hard to succeed academically when we have limited access to academic advisors. We need more support.,really hard succeed academically limited access academic advisor need support,17,2,F,Egypt,B,77,10,6.8,77.0,-0.12103174603174605,0.22817460317460317,Neutral,2,"(-0.12103174603174605, 0.22817460317460317)",-0.12103174603174605,Negative,3
Academic Support and Resources,The difficulty in finding and accessing course materials is a barrier to success for many students. It's important that we have access to what we need to succeed.,difficulty finding accessing course material barrier success many student important access need succeed,18,2,F,Egypt,A,103,13,7.0,103.0,0.4000000000000001,0.5,Neutral,2,"(0.4000000000000001, 0.5)",0.4000000000000001,Positive,4
Academic Support and Resources,Limited course availability is causing a lot of stress for students. We need more options to be able to take the classes we need.,limited course availability causing lot stress student need option able take class need,16,2,M,Egypt,A,87,13,5.769230769230769,87.0,0.2142857142857143,0.3839285714285714,Neutral,2,"(0.2142857142857143, 0.3839285714285714)",0.2142857142857143,Positive,4
Academic Support and Resources,Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,limited access technology software making difficult complete assignment prepare workforce major issue student,24,2,M,Egypt,C,109,13,7.461538461538462,109.0,-0.10223214285714285,0.5107142857142857,Negative,2,"(-0.10223214285714285, 0.5107142857142857)",-0.10223214285714285,Negative,2
Academic Support and Resources,The limited access to research databases and materials is making it hard to complete assignments and write papers. We need better access.,limited access research database material making hard complete assignment write paper need better access,23,2,F,Egypt,C,104,14,6.5,104.0,0.05922619047619046,0.3961309523809524,Neutral,2,"(0.05922619047619046, 0.3961309523809524)",0.05922619047619046,Positive,2
Academic Support and Resources,It's really frustrating to not have more access to academic advisors. It's important that we have support to be able to plan our academic careers.,really frustrating access academic advisor important support able plan academic career,26,2,F,Egypt,F,86,11,6.909090909090909,86.0,0.1,0.505,Positive,2,"(0.1, 0.505)",0.1,Positive,0
Academic Support and Resources,The difficulty in finding and accessing course materials is a major issue. It's important that we have access to what we need to succeed academically.,difficulty finding accessing course material major issue important access need succeed academically,21,1,F,Egypt,B,99,12,7.333333333333333,99.0,0.23125,0.75,Positive,2,"(0.23125, 0.75)",0.23125,Positive,3
Academic Support and Resources,Limited course availability is impacting our ability to graduate on time and meet our academic goals. We need more options.,limited course availability impacting ability graduate time meet academic goal need option,16,1,M,Egypt,D,90,12,6.583333333333333,90.0,-0.03571428571428571,0.07142857142857142,Neutral,2,"(-0.03571428571428571, 0.07142857142857142)",-0.03571428571428571,Negative,1
Academic Support and Resources,Limited access to technology and software is a major issue for students. It's important that we have access to the tools we need to succeed academically and in the workforce.,limited access technology software major issue student important access tool need succeed academically workforce,21,1,M,Egypt,D,112,14,7.071428571428571,112.0,0.13035714285714287,0.5476190476190476,Positive,2,"(0.13035714285714287, 0.5476190476190476)",0.13035714285714287,Positive,1
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration for students. It's important that we have better access to complete our coursework.,limited access research database material causing lot frustration student important better access complete coursework,24,1,F,Egypt,B,117,14,7.428571428571429,117.0,0.23214285714285715,0.5107142857142857,Positive,2,"(0.23214285714285715, 0.5107142857142857)",0.23214285714285715,Positive,3
Academic Support and Resources,"Academic advisors are so important, but the limited access to them is making it difficult to plan our academic careers and succeed.",academic advisor important limited access making difficult plan academic career succeed,24,1,F,Egypt,B,87,11,7.0,87.0,-0.034285714285714274,0.42857142857142855,Neutral,2,"(-0.034285714285714274, 0.42857142857142855)",-0.034285714285714274,Negative,3
Academic Support and Resources,The difficulty in finding and accessing course materials is causing a lot of stress for students.,difficulty finding accessing course material causing lot stress student,18,1,F,Egypt,B,71,9,7.0,71.0,0.0,0.0,Neutral,2,"(0.0, 0.0)",0.0,Neutral,3
Academic Support and Resources,It's frustrating not being able to find the resources I need for my research projects due to the limited access to research databases and materials.,frustrating able find resource need research project due limited access research database material,23,1,M,Egypt,D,98,13,6.615384615384615,98.0,-0.02410714285714286,0.5107142857142857,Negative,2,"(-0.02410714285714286, 0.5107142857142857)",-0.02410714285714286,Negative,1
Academic Support and Resources,Limited course availability is making it difficult to schedule my classes for next semester.,limited course availability making difficult schedule class next semester,19,1,M,Egypt,D,73,9,7.222222222222222,73.0,-0.19047619047619047,0.38095238095238093,Neutral,2,"(-0.19047619047619047, 0.38095238095238093)",-0.19047619047619047,Negative,1
Academic Support and Resources,The difficulty in finding and accessing course materials is really hindering my ability to study effectively.,difficulty finding accessing course material really hindering ability study effectively,17,1,F,Egypt,D,87,10,7.8,87.0,0.4,0.5,Neutral,2,"(0.4, 0.5)",0.4,Positive,1
Academic Support and Resources,"The lack of access to academic advisors is really concerning, especially when I have questions about course selection and career planning.",lack access academic advisor really concerning especially question course selection career planning,26,1,F,Egypt,F,99,12,7.333333333333333,99.0,0.06666666666666667,0.39999999999999997,Neutral,2,"(0.06666666666666667, 0.39999999999999997)",0.06666666666666667,Positive,0
Academic Support and Resources,Limited access to technology and software is making it difficult to complete assignments and stay up to date with my coursework.,limited access technology software making difficult complete assignment stay date coursework,24,1,M,Egypt,F,92,11,7.454545454545454,92.0,-0.15714285714285714,0.5142857142857142,Negative,2,"(-0.15714285714285714, 0.5142857142857142)",-0.15714285714285714,Negative,0
Academic Support and Resources,I'm worried that my research projects won't be up to standard due to the limited access to research databases and materials.,worried research project wont standard due limited access research database material,21,1,M,Egypt,C,84,11,6.7272727272727275,84.0,-0.06547619047619048,0.1726190476190476,Neutral,2,"(-0.06547619047619048, 0.1726190476190476)",-0.06547619047619048,Negative,2
Academic Support and Resources,Limited course availability is making it impossible to complete my degree requirements on time.,limited course availability making impossible complete degree requirement time,20,1,F,Egypt,D,78,9,7.777777777777778,78.0,-0.2126984126984127,0.5142857142857142,Negative,2,"(-0.2126984126984127, 0.5142857142857142)",-0.2126984126984127,Negative,1
Academic Support and Resources,I feel like I'm falling behind in my courses due to the difficulty in finding and accessing course materials.,feel like falling behind course due difficulty finding accessing course material,16,1,M,Egypt,A,80,11,6.363636363636363,80.0,-0.2625,0.5375,Negative,2,"(-0.2625, 0.5375)",-0.2625,Negative,4
Academic Support and Resources,"The lack of access to academic advisors is really frustrating, especially when I need help with scheduling or resolving academic issues.",lack access academic advisor really frustrating especially need help scheduling resolving academic issue,19,1,F,Egypt,C,104,13,7.076923076923077,104.0,-0.1,0.475,Neutral,2,"(-0.1, 0.475)",-0.1,Negative,2
Academic Support and Resources,Limited access to technology and software is impacting my ability to compete with my peers and prepare for my future career.,limited access technology software impacting ability compete peer prepare future career,18,1,F,Egypt,F,87,11,7.0,87.0,-0.03571428571428571,0.13392857142857142,Neutral,2,"(-0.03571428571428571, 0.13392857142857142)",-0.03571428571428571,Negative,0
Academic Support and Resources,I'm struggling to find the necessary course materials for my courses due to the limited access available.,struggling find necessary course material course due limited access available,18,1,F,Egypt,B,77,10,6.8,77.0,0.05089285714285715,0.4794642857142857,Neutral,2,"(0.05089285714285715, 0.4794642857142857)",0.05089285714285715,Positive,3
Academic Support and Resources,The limited access to academic advisors is making it difficult for me to plan my academic career and get the support I need.,limited access academic advisor making difficult plan academic career get support need,20,1,F,Egypt,A,86,12,6.25,86.0,-0.14285714285714285,0.2857142857142857,Neutral,2,"(-0.14285714285714285, 0.2857142857142857)",-0.14285714285714285,Negative,4
